ID,Title,Work Item Type,System.AreaPath,System.IterationPath,Microsoft.VSTS.Common.Priority,Microsoft.VSTS.Scheduling.StoryPoints
3673333,508: [Engagement Manager] [Journal Entries] [2.4.7][Wijmo issue][P3]: uneven visual focus on Wijmo filter,Bug,,,,2
3673334,508: [Engagement Manager] [Journal Entries] [3.3.2] [Wijmo issue] [P3]: Provide visual labels or instructions for user input,Bug,,,,2
3673335,508: [Engagement Manager] [Journal Entries] [2.5.3] [P1]: select checkbox on Journal Entries grid needs a programmatic label,Bug,,,,1
3673337,508: [Engagement Manager] [Journal Entries] [1.4.3] [P3]: Links in reference section of journal entry grid need higher contrast,Bug,,,,2
3752444,508: [Engagement Manager] [Journal Entries] [2.4.3]: Ensure focus and functionality of drag and drop movement menu function correctly,Bug,,,,5
3950272,508: [Journal Entries][1.4.3]: Contrast ratio is less than minimum required ratio 4.5.:1 for the text.,Bug,,,,2
3950286,508: [Journal Entries][1.3.1]: Label name is not defined for the checkboxes.,Bug,,,,2
3954373,508: [Journal Entries][2.4.3]: Focus is not moving sequential order in the table elements while using TAB key.,Bug,,,,3
3954374,508: [Journal Entries][4.1.2]: NVDA is not narrating the role information for the table elements while using TAB key.,Bug,,,,2
3954375,508: [Journal Entries][4.1.2]: Unnecessary aria required role is defined for the table elements.,Bug,,,,2
3954376,508: [Journal Entries][1.3.1]: List markup is not defined for the elements.,Bug,,,,2
3954377,508: [Journal Entries][4.1.2]: Incorrect accessible name is defined for the button.,Bug,,,,2
3954378,508: [Journal Entries][1.3.2]: Focus is moving twice to the elements in reading order while using NVDA scan mode(arrow keys).,Bug,,,,2
3954379,508: [Journal Entries][1.4.10]: On resizing the page into 400% zoom content is not visible and truncated.,Bug,,,,5
3954380,508:[Journal Entries][1.4.4]: On resizing the page into 200% zoom content is overlapped.,Bug,,,,3
3954407,508: [Journal Entries][2.4.3]: Screen reader Focus is not moving to the dialog elements once the dialog is opened.,Bug,,,,3
3954408,508: [Journal Entries][1.3.1]: Heading is not defined for the text in the dialog.,Bug,,,,2
3954410,508: [Journal Entries][2.4.3]: Focus is moving to the hidden element 0 while using TAB Key.,Bug,,,,3
